r_f1,r_f2,r_f3,s_f1,s_f2,s_f3
-1.1574088420363222,-1.0712203335702204,-2.5310001279203505,-1.166081415909865,-0.9358267749476677,-2.389589096357244
-1.1564024444039738,-1.566381126274254,-2.2794181793416004,-1.1660813770099783,-1.227407742099574,-1.9253793197346052
-1.1677546565744894,-1.6200429834738435,-2.095165426976305,-1.1660813629883706,-1.3785557207136525,-1.8429454004821222
-1.1596981903639687,-1.2663707758182046,-2.7491003805011203,-1.1660814160453161,-0.9331144211483772,-2.4010326579155317
-1.1527607234342507,-1.2027105167784944,-2.2742260010486195,-1.1660814099068715,-1.043343664255296,-2.1077761864091977
-1.1587244566447739,-1.4373384317983535,-2.2233687645419873,-1.1660813814057929,-1.1809076475990972,-1.9555410619081044
-1.1582739148532393,-1.5571975130315945,-1.9843446766489385,-1.16608136018205,-1.4083468587323738,-1.8288784371053541
-1.1621380202733804,-1.6135537689007304,-1.704211756469375,-1.1660813299766257,-1.6462613106072164,-1.7383729564323513
-1.1565290420300987,-1.905351150058117,-2.8820900154633007,-1.1660814051786668,-1.091617425499121,-2.032190380822896
-1.1698477752627132,-0.6874098757491658,-2.6853773641657073,-1.1660814424583321,-0.8415481869695497,-2.7724790316996746
-1.168705516139884,-1.8476249940745793,-2.528067237907666,-1.1660813744445475,-1.2547576597179908,-1.908850263441704
-1.1635123868577577,-1.6014689322593219,-2.3305890035872863,-1.1660813778309866,-1.218707734921329,-1.9308162077280697
-1.1657684015968663,-1.3076049651308752,-1.838571874846632,-1.1660814424583297,-1.331252611121105,-1.861808770259814
-1.1518869804995633,-1.8561452264582026,-2.5843793637783516,-1.166081377142215,-1.226015178100307,-1.9262435564351732
-1.1535448387152067,-1.7403186743866201,-1.9434889216230902,-1.1660813369299177,-1.5682966785769024,-1.7638215025374249
-1.162713099442172,-1.1108063579607432,-1.8219699517262067,-1.166081378085675,-1.2164101030966605,-1.9322671894795789
-1.153512175275656,-0.7257829195049503,-1.6249583645164687,-1.1660814016382435,-1.102480905141602,-2.0183984713991525
-1.1513818042146515,-0.7513903349604517,-2.6959812974900768,-1.166081398714518,-0.8391089570743032,-2.7875985223750197
-1.1603561665103268,-0.8035884199792837,-2.2602424549247617,-1.1660814159937813,-0.9341518206365464,-2.396608683527399
-1.1608525960310816,-1.3003992471746348,-1.8111457741098718,-1.1660813659378864,-1.3461709651321985,-1.8589517835635376
-1.1586879577444906,-1.805656212318664,-2.0610670236769546,-1.166081340063175,-1.5328072496902827,-1.7760914436908468
-1.1600797048582432,-1.8858272387512716,-1.8482499711016271,-1.1660813504884167,-1.7481238101618788,-1.704426391192119
-1.1645101537361247,-1.2831858015802742,-2.630188757752495,-1.1660814146132423,-0.9622570318938212,-2.294996507755154
-1.1571934702965156,-1.3621841300798159,-2.0392831805485985,-1.1660813754827148,-1.2436393943783326,-1.9154697897280208
-1.1673229848090592,-1.8650041510390927,-2.4108680102342697,-1.1660813665190168,-1.3397183738658336,-1.8622362144555829
